Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
A;Suiza;;DL;Noah Okafor;AC Milan;Serie A;24/05/2000
A;Suiza;;DL;Renato Steffen;FC Lugano;Swiss Super League;03/11/1991
A;Suiza;;DL;Ruben Vargas;FC Augsburg;Bundesliga;05/08/1998
A;Suiza;;DL;Andi Zeqiri;KRC Genk;Jupiler Pro League;22/06/1999
A;Suiza;;DL;Steven Zuber;AEK Athens;Super League Greece;17/08/1991
A;Hungría;12;PT;Dénes Dibusz;Ferencváros;Nemzeti Bajnokság I;16/11/1990
A;Hungría;1;PT;Péter Gulácsi;RB Leipzig;Bundesliga;06/05/1990
A;Hungría;22;PT;Péter Szappanos;Paksi SE;Nemzeti Bajnokság I;14/11/1990
A;Hungría;3;DF;Botond Balogh;Parma Calcio;Serie B;06/06/2002
A;Hungría;21;DF;Endre Botka;Ferencváros;Nemzeti Bajnokság I;25/08/1994
A;Hungría;24;DF;Marton Dárdai;Hertha BSC;2. Bundesliga;12/02/2002
A;Hungría;5;DF;Attila Fiola;MOL Fehérvár FC;Nemzeti Bajnokság I;17/02/1990
A;Hungría;2;DF;Ádám Lang;Omonia;Nemzeti Bajnokság I;17/01/1993
A;Hungría;6;DF;Willi Orbán;RB Leipzig;Bundesliga;03/11/1992
A;Hungría;4;DF;Attila Szalai;SC Freiburg;Bundesliga;20/01/1998
A;Hungría;14;MC;Bendegúz Bolla;Servette FC;Swiss Super League;22/11/1999
A;Hungría;16;MC;Daniel Gazdag;Philadelphia Union;MLS;02/03/1996
A;Hungría;25;MC;Kriztofer Horváth;Kecskeméti TE;Nemzeti Bajnokság I;08/01/2002
A;Hungría;26;MC;Mihály Kata;MTK Budapest;Nemzeti Bajnokság I;13/04/2002
A;Hungría;11;MC;Milos Kerkez;AFC Bournemouth;Premier League;07/11/2003
A;Hungría;15;MC;László Kleinheisler;Hajduk Split;Prva HNL;08/04/1994
A;Hungría;8;MC;Ádám Nagy;Spezia Calcio;Serie B;17/06/1995
A;Hungría;18;MC;Zsolt Nagy;Puskás Akadémia;Nemzeti Bajnokság I;25/05/1993
A;Hungría;7;MC;Loïc Négo;Le Havre AC;Ligue 1;15/01/1991
A;Hungría;13;MC;András Schäfer;Union Berlin;Bundesliga;13/04/1999
A;Hungría;17;MC;Callum Styles;AFC Sunderland;Championship;28/03/2000
A;Hungría;10;MC;Dominik Szoboszlai;Liverpool;Premier League;25/10/2000
A;Hungría;9;DL;Martin Ádám;Ulsan HD;K League 1;06/11/1994
A;Hungría;23;DL;Kevin Csoboth;Ujpest FC;Nemzeti Bajnokság I;20/06/2000
A;Hungría;20;DL;Roland Sallai;SC Freiburg;Bundesliga;22/05/1997
A;Hungría;19;DL;Barnabás Varga;Ferencváros;Nemzeti Bajnokság I;25/10/1994
B;Italia;;PT;Gianluigi Donnarumma;PSG;Ligue 1;25/02/1999
B;Italia;;PT;Alex Meret;Napoli;Serie A;22/03/1997
B;Italia;;PT;Ivan Provedel;Lazio;Serie A;17/03/1994
B;Italia;;PT;Guglielmo Vicario;Tottenham;Premier League;07/10/1996
B;Italia;;DF;Alessandro Bastoni;Inter Milan;Serie A;13/04/1999
B;Italia;;DF;Raoul Bellanova;Torino;Serie A;17/05/2000
B;Italia;;DF;Alessandro Buongiorno;Torino;Serie A;06/06/1999
B;Italia;;DF;Riccardo Calafiori;Bologna;Serie A;19/05/2002
B;Italia;;DF;Andrea Cambiaso;Juventus;Serie A;20/02/2000
B;Italia;;DF;Matteo Darmian;Inter Milan;Serie A;02/12/1989
B;Italia;;DF;Giovanni Di Lorenzo;Napoli;Serie A;04/08/1993
B;Italia;;DF;Federico Dimarco;Inter Milan;Serie A;10/11/1997
B;Italia;;DF;Gianluca Mancini;Roma;Serie A;17/04/1996
B;Italia;;DF;Federico Gatti;Juventus;Serie A;24/06/1998
B;Italia;;MC;Nicolò Barella;Inter Milan;Serie A;07/02/1997
B;Italia;;MC;Bryan Cristante;Roma;Serie A;03/03/1995
B;Italia;;MC;Nicolò Fagioli;Juventus;Serie A;12/02/2001
B;Italia;;MC;Michael Folorunsho;Hellas Verona;Serie A;07/02/1998
B;Italia;;MC;Davide Frattesi;Inter Milan;Serie A;22/09/1999
B;Italia;;MC;Jorginho;Arsenal;Premier League;20/12/1991
B;Italia;;MC;Lorenzo Pellegrini;Roma;Serie A;19/06/1996
B;Italia;;MC;Samuele Ricci;Torino;Serie A;21/08/2001
B;Italia;;DL;Federico Chiesa;Juventus;Serie A;25/10/1997
B;Italia;;DL;Stephan El Shaarawy;Roma;Serie A;27/10/1992
B;Italia;;DL;Riccardo Orsolini;Bologna;Serie A;24/01/1997
B;Italia;;DL;Giacomo Raspadori;Napoli;Serie A;18/02/2000
B;Italia;;DL;Mateo Retegui;Genoa;Serie A;29/04/1999
B;Italia;;DL;Gianluca Scamacca;Atalanta;Serie A;01/01/1999
B;Italia;;DL;Mattia Zaccagni;Lazio;Serie A;16/06/1995
B;España;1;PT;David Raya;Arsenal;Premier League;15/09/1995
B;España;13;PT;Álex Remiro;Real Sociedad;La Liga;24/03/1995
B;España;23;PT;Unai Simón;Athletic Bilbao;La Liga;11/06/1997
B;España;2;DF;Dani Carvajal;Real Madrid;La Liga;11/01/1992
B;España;24;DF;Marc Cucurella;Chelsea;Premier League;22/07/1998
B;España;4;DF;Nacho Fernández;Real Madrid;La Liga;18/01/1990
B;España;12;DF;Alejandro Grimaldo;Bayer Leverkusen;Bundesliga;20/09/1995
B;España;14;DF;Aymeric Laporte;Al Nassr;Saudi Pro League;27/05/1994
B;España;3;DF;Robin Le Normand;Real Sociedad;La Liga;11/11/1996
B;España;22;DF;Jesús Navas;Sevilla;La Liga;21/11/1985
B;España;5;DF;Dani Vivian;Athletic Bilbao;La Liga;05/07/1999
B;España;15;MC;Álex Baena;Villarreal;La Liga;20/07/2001
B;España;20;MC;Pedri González;Barcelona;La Liga;25/11/2002
B;España;16;MC;Rodri Hernández;Manchester City;Premier League;22/06/1996
B;España;25;MC;Fermín López;Barcelona;La Liga;11/05/2003
B;España;6;MC;Mikel Merino;Real Sociedad;La Liga;22/06/1996
B;España;8;MC;Fabián Ruiz;PSG;Ligue 1;03/04/1996
B;España;18;MC;Martín Zubimendi;Real Sociedad;La Liga;02/02/1999
B;España;9;DL;Joselu Mato;Real Madrid;La Liga;27/03/1990
B;España;7;DL;Álvaro Morata;Atletico Madrid;La Liga;23/10/1992
B;España;10;DL;Dani Olmo;RB Leipzig;Bundesliga;07/05/1998
B;España;21;DL;Mikel Oyarzabal;Real Sociedad;La Liga;21/04/1997
B;España;26;DL;Ayoze Pérez;Real Betis;La Liga;29/07/1993
B;España;11;DL;Ferrán Torres;Barcelona;La Liga;29/02/2000
B;España;17;DL;Nico Williams;Athletic Bilbao;La Liga;12/07/2002
B;España;19;DL;Lamine Yamal;Barcelona;La Liga;13/07/2007
B;Croacia;;PT;Ivica Ivuši?;Pafos;First Division;01/02/1995
B;Croacia;;PT;Nediljko Labrovi?;Rijeka;Prva HNL;06/10/1999
B;Croacia;;PT;Dominik Livakovi?;Fenerbahçe;Süper Lig;09/01/1995
B;Croacia;;DF;Martin Erli?;Sassuolo;Serie A;24/01/1998
B;Croacia;;DF;Joško Gvardiol;Manchester City;Premier League;23/01/2002
B;Croacia;;DF;Josip Juranovi?;Union Berlin;Bundesliga;16/08/1995
B;Croacia;;DF;Marin Pongra?i?;Lecce;Serie A;11/09/1997
B;Croacia;;DF;Borna Sosa;Ajax;Eredivisie;21/01/1998
B;Croacia;;DF;Josip Staniši?;Bayer Leverkusen;Bundesliga;06/04/2000
B;Croacia;;DF;Josip Šutalo;Ajax;Eredivisie;28/04/2000
B;Croacia;;DF;Domagoj Vida;AEK Athens;Super League Greece;29/04/1989
B;Croacia;;MC;Martin Baturina;Dinamo Zagreb;Prva HNL;16/02/2003
B;Croacia;;MC;Marcelo Brozovi?;Al Nassr;Saudi Pro League;16/11/1992
B;Croacia;;MC;Luka Ivanušec;Feyenoord;Eredivisie;26/08/1998
B;Croacia;;MC;Mateo Kova?i?;Manchester City;Premier League;06/05/1994
B;Croacia;;MC;Lovro Majer;Wolfsburg;Bundesliga;17/01/1998
B;Croacia;;MC;Luka Modri?;Real Madrid;La Liga;09/09/1985
B;Croacia;;MC;Mario Pašali?;Atalanta;Serie A;09/02/1995
B;Croacia;;MC;Luka Su?i?;Red Bull Salzburg;Austrian Bundesliga;09/09/2002
B;Croacia;;MC;Nikola Vlaši?;Torino;Serie A;04/10/1997
B;Croacia;;DL;Ante Budimir;Osasuna;La Liga;22/07/1991
B;Croacia;;DL;Andrej Kramari?;TSG 1899 Hoffenheim;Bundesliga;19/06/1991
B;Croacia;;DL;Marco Pašali?;Rijeka;Prva HNL;14/09/2000
B;Croacia;;DL;Ivan Periši?;Hajduk Split;Prva HNL;02/02/1989
B;Croacia;;DL;Bruno Petkovi?;Dinamo Zagreb;Prva HNL;06/09/1994
B;Croacia;;DL;Marko Pjaca;Rijeka;Prva HNL;06/05/1995
B;Albania;;PT;Etrit Berisha;Empoli;Serie A;10/03/1989
B;Albania;;PT;Elhan Kastrati;Cittadella;Serie B;02/02/1997
B;Albania;;PT;Simon Simoni;Eintracht Frankfurt;Bundesliga;14/07/2004
B;Albania;;PT;Thomas Strakosha;Brentford;Premier League;19/03/1995
B;Albania;;DF;Naser Aliji;FC Voluntari;Liga I;27/12/1993
B;Albania;;DF;Arlind Ajeti;Cluj;Liga I;25/09/1993
B;Albania;;DF;Ivan Balliu;Rayo Vallecano;La Liga;01/01/1992
B;Albania;;DF;Berat Djimsiti;Atalanta;Serie A;19/02/1993
B;Albania;;DF;Elseid Hysaj;Lazio;Serie A;02/02/1994
B;Albania;;DF;Ardian Ismajli;Empoli;Serie A;30/09/1996
B;Albania;;DF;Marash Kumbulla;Sassuolo;Serie A;08/02/2000
B;Albania;;DF;Enea Mihaj;Famalicão;Primeira Liga;05/07/1998
B;Albania;;DF;Mario Mitaj;Lokomotiv Moskva;Prem'yer-Liga;06/08/2003
B;Albania;;MC;Amir Abrashi;Grasshopper;Swiss Super League;27/03/1990
B;Albania;;MC;Kristjan Asllani;Inter Milan;Serie A;09/03/2002
B;Albania;;MC;Nedim Bajrami;Sassuolo;Serie A;28/02/1999
B;Albania;;MC;Medon Berisha;Lecce;Serie A;21/10/2003
B;Albania;;MC;Klaus Gjasula;Darmstadt;Bundesliga;14/12/1989
B;Albania;;MC;Qazim Laçi;Sparta Praha;Fortuna Liga;19/01/1996
B;Albania;;MC;Ernest Muçi;Be?ikta?;Süper Lig;19/03/2001
B;Albania;;MC;Ylber Ramadani;Lecce;Serie A;12/04/1996
B;Albania;;DL;Jasir Asani;Gwangju FC;K League 1;19/05/1995
B;Albania;;DL;Armando Broja;Fulham;Premier League;10/09/2001
B;Albania;;DL;Mirlind Daku;Rubin Kazan;Prem'yer-Liga;01/01/1998
B;Albania;;DL;Arbër Hoxha;Dinamo Zagreb;Prva HNL;06/10/1998
B;Albania;;DL;Rey Manaj;Sivasspor;Süper Lig;24/02/1997
B;Albania;;DL;Taulant Seferi;FC Baniyas;UAE Pro League;15/11/1996
C;Inglaterra;;PT;Dean Henderson;Crystal Palace;Premier League;12/03/1997
C;Inglaterra;;PT;Jordan Pickford;Everton;Premier League;07/03/1994
C;Inglaterra;;PT;Aaron Ramsdale;Arsenal;Premier League;14/05/1998
C;Inglaterra;;DF;Lewis Dunk;Brighton & Hove Albion;Premier League;21/11/1991
C;Inglaterra;;DF;Joe Gomez;Liverpool;Premier League;23/05/1997
C;Inglaterra;;DF;Marc Guéhi;Crystal Palace;Premier League;13/07/2000
C;Inglaterra;;DF;Ezri Konsa;Aston Villa;Premier League;23/10/1997
C;Inglaterra;;DF;Luke Shaw;Manchester United;Premier League;12/07/1995
C;Inglaterra;;DF;John Stones;Manchester City;Premier League;28/05/1994
C;Inglaterra;;DF;Kieran Trippier;Newcastle United;Premier League;19/09/1990
C;Inglaterra;;DF;Kyle Walker;Manchester City;Premier League;28/05/1990
C;Inglaterra;;MC;Trent Alexander-Arnold;Liverpool;Premier League;07/10/1998
C;Inglaterra;;MC;Conor Gallagher;Chelsea;Premier League;06/02/2000
C;Inglaterra;;MC;Kobbie Mainoo;Manchester United;Premier League;19/04/2005
C;Inglaterra;;MC;Declan Rice;Arsenal;Premier League;14/01/1999
C;Inglaterra;;MC;Adam Wharton;Crystal Palace;Premier League;06/02/2004
C;Inglaterra;;DL;Jude Bellingham;Real Madrid;La Liga;29/06/2003
C;Inglaterra;;DL;Jarrod Bowen;West Ham United;Premier League;20/12/1996
C;Inglaterra;;DL;Eberechi Eze;Crystal Palace;Premier League;29/06/1998
C;Inglaterra;;DL;Phil Foden;Manchester City;Premier League;28/05/2000
C;Inglaterra;;DL;Anthony Gordon;Newcastle United;Premier League;24/02/2001
C;Inglaterra;;DL;Harry Kane;Bayern Munich;Bundesliga;28/07/1993
C;Inglaterra;;DL;Cole Palmer;Chelsea;Premier League;06/05/2002
C;Inglaterra;;DL;Bukayo Saka;Arsenal;Premier League;05/09/2001
C;Inglaterra;;DL;Ivan Toney;Brentford;Premier League;16/03/1996
C;Inglaterra;;DL;Ollie Watkins;Aston Villa;Premier League;30/12/1995
C;Serbia;;PT;Vanja Milinkovi?-Savi?;Torino;Serie A;20/02/1997
C;Serbia;;PT;?or?e Petrovi?;Chelsea;Premier League;08/10/1999
C;Serbia;;PT;Predrag Rajkovi?;Mallorca;La Liga;31/10/1995
C;Serbia;;DF;Srdjan Babi?;Spartak Moskva;Prem'yer-Liga;22/04/1996
C;Serbia;;DF;Nikola Milenkovi?;Fiorentina;Serie A;12/10/1997
C;Serbia;;DF;Filip Mladenovi?;Panathinaikos;Super League Greece;15/08/1991
C;Serbia;;DF;Strahinja Pavlovi?;Red Bull Salzburg;Austrian Bundesliga;24/04/2001
C;Serbia;;DF;Uroš Spaji?;Crvena Zvezda;Superliga Srbije;13/02/1993
C;Serbia;;DF;Nemanja Stoji?;Backa Topola;Superliga Srbije;15/01/1998
C;Serbia;;DF;Miloš Veljkovi?;Werder Bremen;Bundesliga;26/09/1995
C;Serbia;;MC;Veljko Birman?evi?;Sparta Praha;Fortuna Liga;05/03/1998
C;Serbia;;MC;Mijat Ga?inovi?;AEK Athens;Super League Greece;08/02/1995
C;Serbia;;MC;Nemanja Gudelj;Sevilla;La Liga;16/11/1991
C;Serbia;;MC;Ivan Ili?;Torino;Serie A;17/03/2001
C;Serbia;;MC;Filip Kosti?;Juventus;Serie A;01/11/1992
C;Serbia;;MC;Saša Luki?;Fulham;Premier League;13/08/1996
C;Serbia;;MC;Nemanja Maksimovi?;Getafe;La Liga;26/01/1995
C;Serbia;;MC;Sr?an Mijailovi?;Crvena Zvezda;Superliga Srbije;10/11/1993
C;Serbia;;MC;Sergej Milinkovi?-Savi?;Al Hilal;Saudi Pro League;27/02/1995
C;Serbia;;MC;Lazar Samardži?;Udinese Calcio;Serie A;24/02/2002
C;Serbia;;MC;Dušan Tadi?;Fenerbahçe;Süper Lig;20/11/1988
C;Serbia;;MC;Andrija Živkovi?;PAOK;Super League Greece;11/07/1996
C;Serbia;;DL;Luka Jovi?;AC Milan;Serie A;23/12/1997
C;Serbia;;DL;Aleksandar Mitrovi?;Al Hilal;Saudi Pro League;16/09/1994
C;Serbia;;DL;Dušan Vlahovi?;Juventus;Serie A;28/01/2000
C;Serbia;;DL;Petar Ratkov;Red Bull Salzburg;Austrian Bundesliga;18/08/2003
C;Dinamarca;;PT;Mads Hermansen;Leicester City;Championship;11/07/2000
C;Dinamarca;;PT;Frederik Rønnow;Union Berlin;Bundesliga;04/08/1992
C;Dinamarca;;PT;Kasper Schmeichel;Anderlecht;Belgian Pro League;05/11/1986
C;Dinamarca;;DF;Joachim Andersen;Crystal Palace;Premier League;31/05/1996
C;Dinamarca;;DF;Alexander Bah;Benfica;Primeira Liga;09/12/1997
C;Dinamarca;;DF;Andreas Christensen;Barcelona;La Liga;10/04/1996
C;Dinamarca;;DF;Simon Kjær;AC Milan;Serie A;26/03/1989
C;Dinamarca;;DF;Joakim Mæhle;Wolfsburg;Bundesliga;20/05/1997
C;Dinamarca;;DF;Victor Nelsson;Galatasaray;Super Lig;14/10/1998
C;Dinamarca;;DF;Victor Kristiansen;Bologna;Serie A;16/12/2002
C;Dinamarca;;DF;Rasmus Nissen Kristensen;AS Roma;Serie A;11/07/1997
C;Dinamarca;;DF;Jannik Vestergaard;Leicester City;Championship;03/08/1992
C;Dinamarca;;MC;Thomas Delaney;Anderlecht;Belgian Pro League;03/09/1991
C;Dinamarca;;MC;Christian Eriksen;Manchester United;Premier League;14/02/1992
C;Dinamarca;;MC;Morten Hjulmand;Sporting CP;Primeira Liga;25/06/1999
C;Dinamarca;;MC;Pierre-Emile Højbjerg;Tottenham Hotspur;Premier League;05/08/1995
C;Dinamarca;;MC;Mathias Jensen;Brentford;Premier League;01/01/1996
C;Dinamarca;;MC;Christian Nørgaard;Brentford;Premier League;10/03/1994
C;Dinamarca;;DL;Jacob Bruun Larsen;Burnley;Premier League;19/09/1998
C;Dinamarca;;DL;Mikkel Damsgaard;Brentford;Premier League;03/07/2000
C;Dinamarca;;DL;Kasper Dolberg;Anderlecht;Belgian Pro League;06/10/1997
C;Dinamarca;;DL;Andreas Dreyer;Anderlecht;Belgian Pro League;02/05/1998
