Grupo;Selección;Dorsal;Posición;Nombre;Equipo;Liga;Nacimiento
A;Suiza;25;DL;Zeki Amdouni;Burnley;Premier League;04/12/2000
A;Suiza;18;DL;Kwadwo Duah;Ludogorets Razgrad;efbet Liga;24/02/1997
A;Suiza;7;DL;Breel Embolo;AS Monaco;Ligue 1;14/02/1997
A;Suiza;19;DL;Dan Ndoye;Bologna FC;Serie A;25/10/2000
A;Suiza;9;DL;Noah Okafor;AC Milan;Serie A;24/05/2000
A;Suiza;-;DT;Murat Yakin;Suiza;-;15/09/1974
A;Hungría;12;PT;Dénes Dibusz;Ferencváros;Nemzeti Bajnokság I;16/11/1990
A;Hungría;1;PT;Péter Gulácsi;RB Leipzig;Bundesliga;06/05/1990
A;Hungría;22;PT;Péter Szappanos;Paksi SE;Nemzeti Bajnokság I;14/11/1990
A;Hungría;3;DF;Botond Balogh;Parma Calcio;Serie B;06/06/2002
A;Hungría;14;DF;Bendegúz Bolla;Servette FC;Swiss Super League;22/11/1999
A;Hungría;21;DF;Endre Botka;Ferencváros;Nemzeti Bajnokság I;25/08/1994
A;Hungría;24;DF;Marton Dárdai;Hertha BSC;2. Bundesliga;12/02/2002
A;Hungría;5;DF;Attila Fiola;MOL Fehérvár FC;Nemzeti Bajnokság I;17/02/1990
A;Hungría;11;DF;Milos Kerkez;AFC Bournemouth;Premier League;07/11/2003
A;Hungría;2;DF;Ádám Lang;Omonia;Nemzeti Bajnokság I;17/01/1993
A;Hungría;18;DF;Zsolt Nagy;Puskás Akadémia;Nemzeti Bajnokság I;25/05/1993
A;Hungría;7;DF;Loïc Négo;Le Havre AC;Ligue 1;15/01/1991
A;Hungría;6;DF;Willi Orbán;RB Leipzig;Bundesliga;03/11/1992
A;Hungría;4;DF;Attila Szalai;SC Freiburg;Bundesliga;20/01/1998
A;Hungría;16;MC;Daniel Gazdag;Philadelphia Union;MLS;02/03/1996
A;Hungría;26;MC;Mihály Kata;MTK Budapest;Nemzeti Bajnokság I;13/04/2002
A;Hungría;15;MC;László Kleinheisler;Hajduk Split;Prva HNL;08/04/1994
A;Hungría;8;MC;Ádám Nagy;Spezia Calcio;Serie B;17/06/1995
A;Hungría;13;MC;András Schäfer;Union Berlin;Bundesliga;13/04/1999
A;Hungría;17;MC;Callum Styles;AFC Sunderland;Championship;28/03/2000
A;Hungría;10;MC;Dominik Szoboszlai;Liverpool;Premier League;25/10/2000
A;Hungría;9;DL;Martin Ádám;Ulsan HD;K League 1;06/11/1994
A;Hungría;23;DL;Kevin Csoboth;Ujpest FC;Nemzeti Bajnokság I;20/06/2000
A;Hungría;25;DL;Kriztofer Horváth;Kecskeméti TE;Nemzeti Bajnokság I;08/01/2002
A;Hungría;20;DL;Roland Sallai;SC Freiburg;Bundesliga;22/05/1997
A;Hungría;19;DL;Barnabás Varga;Ferencváros;Nemzeti Bajnokság I;25/10/1994
A;Hungría;-;DT;Marco Rossi;Italia;-;09/09/1964
B;Italia;1;PT;Gianluigi Donnarumma;PSG;Ligue 1;25/02/1999
B;Italia;26;PT;Alex Meret;Napoli;Serie A;22/03/1997
B;Italia;12;PT;Guglielmo Vicario;Tottenham;Premier League;07/10/1996
B;Italia;23;DF;Alessandro Bastoni;Inter Milan;Serie A;13/04/1999
B;Italia;15;DF;Raoul Bellanova;Torino;Serie A;17/05/2000
B;Italia;4;DF;Alessandro Buongiorno;Torino;Serie A;06/06/1999
B;Italia;5;DF;Riccardo Calafiori;Bologna;Serie A;19/05/2002
B;Italia;24;DF;Andrea Cambiaso;Juventus;Serie A;20/02/2000
B;Italia;13;DF;Matteo Darmian;Inter Milan;Serie A;02/12/1989
B;Italia;2;DF;Giovanni Di Lorenzo;Napoli;Serie A;04/08/1993
B;Italia;3;DF;Federico Dimarco;Inter Milan;Serie A;10/11/1997
B;Italia;17;DF;Gianluca Mancini;Roma;Serie A;17/04/1996
B;Italia;6;DF;Federico Gatti;Juventus;Serie A;24/06/1998
B;Italia;18;MC;Nicolò Barella;Inter Milan;Serie A;07/02/1997
B;Italia;16;MC;Bryan Cristante;Roma;Serie A;03/03/1995
B;Italia;21;MC;Nicolò Fagioli;Juventus;Serie A;12/02/2001
B;Italia;7;MC;Davide Frattesi;Inter Milan;Serie A;22/09/1999
B;Italia;8;MC;Jorginho;Arsenal;Premier League;20/12/1991
B;Italia;10;MC;Lorenzo Pellegrini;Roma;Serie A;19/06/1996
B;Italia;14;DL;Federico Chiesa;Juventus;Serie A;25/10/1997
B;Italia;22;DL;Stephan El Shaarawy;Roma;Serie A;27/10/1992
B;Italia;25;DL;Michael Folorunsho;Hellas Verona;Serie A;07/02/1998
B;Italia;11;DL;Giacomo Raspadori;Napoli;Serie A;18/02/2000
B;Italia;19;DL;Mateo Retegui;Genoa;Serie A;29/04/1999
B;Italia;9;DL;Gianluca Scamacca;Atalanta;Serie A;01/01/1999
B;Italia;20;DL;Mattia Zaccagni;Lazio;Serie A;16/06/1995
B;Italia;-;DT;Luciano Spalletti;Italia;-;07/03/1959
B;España;1;PT;David Raya;Arsenal;Premier League;15/09/1995
B;España;13;PT;Alejandro Remiro;Real Sociedad;La Liga;24/03/1995
B;España;23;PT;Unai Simón;Athletic Bilbao;La Liga;11/06/1997
B;España;2;DF;Dani Carvajal;Real Madrid;La Liga;11/01/1992
B;España;24;DF;Marc Cucurella;Chelsea;Premier League;22/07/1998
B;España;12;DF;Alejandro Grimaldo;Bayer Leverkusen;Bundesliga;20/09/1995
B;España;14;DF;Aymeric Laporte;Al Nassr;Saudi Pro League;27/05/1994
B;España;3;DF;Robin Le Normand;Real Sociedad;La Liga;11/11/1996
B;España;4;DF;Nacho;Real Madrid;La Liga;18/01/1990
B;España;5;DF;Daniel Vivian;Athletic Bilbao;La Liga;05/07/1999
B;España;15;MC;Álex Baena;Villarreal;La Liga;20/07/2001
B;España;6;MC;Mikel Merino;Real Sociedad;La Liga;22/06/1996
B;España;21;MC;Mikel Oyarzabal;Real Sociedad;La Liga;21/04/1997
B;España;20;MC;Pedri;Barcelona;La Liga;25/11/2002
B;España;16;MC;Rodri;Manchester City;Premier League;22/06/1996
B;España;8;MC;Fabián Ruiz;PSG;Ligue 1;03/04/1996
B;España;17;MC;Nico Williams;Athletic Bilbao;La Liga;12/07/2002
B;España;18;MC;Martin Zubimendi;Real Sociedad;La Liga;02/02/1999
B;España;9;DL;Joselu;Real Madrid;La Liga;27/03/1990
B;España;25;DL;Fermín López;Barcelona;La Liga;11/05/2003
B;España;7;DL;Álvaro Morata;Atletico Madrid;La Liga;23/10/1992
B;España;22;DL;Jesús Navas;Sevilla;La Liga;21/11/1985
B;España;10;DL;Dani Olmo;RB Leipzig;Bundesliga;07/05/1998
B;España;26;DL;Ayoze Pérez;Real Betis;La Liga;29/07/1993
B;España;11;DL;Ferrán Torres;Barcelona;La Liga;29/02/2000
B;España;19;DL;Lamine Yamal;Barcelona;La Liga;13/07/2007
B;España;-;DT;Luis de la Fuente;España;-;21/06/1961
B;Croacia;23;PT;Ivica Ivuši?;Pafos;First Division;01/02/1995
B;Croacia;12;PT;Nediljko Labrovi?;Rijeka;Prva HNL;06/10/1999
B;Croacia;1;PT;Dominik Livakovi?;Fenerbahçe;Süper Lig;09/01/1995
B;Croacia;5;DF;Martin Erli?;Sassuolo;Serie A;24/01/1998
B;Croacia;4;DF;Joško Gvardiol;Manchester City;Premier League;23/01/2002
B;Croacia;22;DF;Josip Juranovi?;Union Berlin;Bundesliga;16/08/1995
B;Croacia;3;DF;Marin Pongra?i?;Lecce;Serie A;11/09/1997
B;Croacia;19;DF;Borna Sosa;Ajax;Eredivisie;21/01/1998
B;Croacia;2;DF;Josip Staniši?;Bayer Leverkusen;Bundesliga;06/04/2000
B;Croacia;6;DF;Josip Šutalo;Ajax;Eredivisie;28/04/2000
B;Croacia;21;DF;Domagoj Vida;AEK Athens;Super League Greece;29/04/1989
B;Croacia;26;MC;Martin Baturina;Dinamo Zagreb;Prva HNL;16/02/2003
B;Croacia;11;MC;Marcelo Brozovi?;Al Nassr;Saudi Pro League;16/11/1992
B;Croacia;8;MC;Mateo Kova?i?;Manchester City;Premier League;06/05/1994
B;Croacia;7;MC;Lovro Majer;Wolfsburg;Bundesliga;17/01/1998
B;Croacia;10;MC;Luka Modri?;Real Madrid;La Liga;09/09/1985
B;Croacia;15;MC;Mario Pašali?;Atalanta;Serie A;09/02/1995
B;Croacia;25;MC;Luka Su?i?;Red Bull Salzburg;Austrian Bundesliga;09/09/2002
B;Croacia;13;MC;Nikola Vlaši?;Torino;Serie A;04/10/1997
B;Croacia;16;DL;Ante Budimir;Osasuna;La Liga;22/07/1991
B;Croacia;18;DL;Luka Ivanušec;Feyenoord;Eredivisie;26/08/1998
B;Croacia;9;DL;Andrej Kramari?;TSG 1899 Hoffenheim;Bundesliga;19/06/1991
B;Croacia;24;DL;Marco Pašali?;Rijeka;Prva HNL;14/09/2000
B;Croacia;14;DL;Ivan Periši?;Hajduk Split;Prva HNL;02/02/1989
B;Croacia;17;DL;Bruno Petkovi?;Dinamo Zagreb;Prva HNL;06/09/1994
B;Croacia;20;DL;Marko Pjaca;Rijeka;Prva HNL;06/05/1995
B;Croacia;-;DT;Zlatko Dali?;Croacia;-;26/10/1966
B;Albania;1;PT;Etrit Berisha;Empoli;Serie A;10/03/1989
B;Albania;12;PT;Elhan Kastrati;Cittadella;Serie B;02/02/1997
B;Albania;23;PT;Thomas Strakosha;Brentford;Premier League;19/03/1995
B;Albania;25;DF;Naser Aliji;FC Voluntari;Liga I;27/12/1993
B;Albania;5;DF;Arlind Ajeti;Cluj;Liga I;25/09/1993
B;Albania;2;DF;Ivan Balliu;Rayo Vallecano;La Liga;01/01/1992
B;Albania;6;DF;Berat Djimsiti;Atalanta;Serie A;19/02/1993
B;Albania;4;DF;Elseid Hysaj;Lazio;Serie A;02/02/1994
B;Albania;18;DF;Ardian Ismajli;Empoli;Serie A;30/09/1996
B;Albania;24;DF;Marash Kumbulla;Sassuolo;Serie A;08/02/2000
B;Albania;13;DF;Enea Mihaj;Famalicão;Primeira Liga;05/07/1998
B;Albania;3;DF;Mario Mitaj;Lokomotiv Moskva;Prem'yer-Liga;06/08/2003
B;Albania;22;MC;Amir Abrashi;Grasshopper;Swiss Super League;27/03/1990
B;Albania;21;MC;Kristjan Asllani;Inter Milan;Serie A;09/03/2002
B;Albania;10;MC;Nedim Bajrami;Sassuolo;Serie A;28/02/1999
B;Albania;8;MC;Klaus Gjasula;Darmstadt;Bundesliga;14/12/1989
B;Albania;14;MC;Qazim Laçi;Sparta Praha;Fortuna Liga;19/01/1996
B;Albania;20;MC;Ylber Ramadani;Lecce;Serie A;12/04/1996
B;Albania;15;MC;Taulant Seferi;FC Baniyas;UAE Pro League;15/11/1996
B;Albania;9;DL;Jasir Asani;Gwangju FC;K League 1;19/05/1995
B;Albania;16;DL;Medon Berisha;Lecce;Serie A;21/10/2003
B;Albania;11;DL;Armando Broja;Fulham;Premier League;10/09/2001
B;Albania;19;DL;Mirlind Daku;Rubin Kazan;Prem'yer-Liga;01/01/1998
B;Albania;26;DL;Arbër Hoxha;Dinamo Zagreb;Prva HNL;06/10/1998
B;Albania;7;DL;Rey Manaj;Sivasspor;Süper Lig;24/02/1997
B;Albania;17;DL;Ernest Muçi;Be?ikta?;Süper Lig;19/03/2001
B;Albania;-;DT;Sylvinho;España;-;12/04/1974
C;Inglaterra;23;PT;Dean Henderson;Crystal Palace;Premier League;12/03/1997
C;Inglaterra;1;PT;Jordan Pickford;Everton;Premier League;07/03/1994
C;Inglaterra;13;PT;Aaron Ramsdale;Arsenal;Premier League;14/05/1998
C;Inglaterra;8;DF;Trent Alexander-Arnold;Liverpool;Premier League;07/10/1998
C;Inglaterra;15;DF;Lewis Dunk;Brighton & Hove Albion;Premier League;21/11/1991
C;Inglaterra;22;DF;Joe Gomez;Liverpool;Premier League;23/05/1997
C;Inglaterra;6;DF;Marc Guéhi;Crystal Palace;Premier League;13/07/2000
C;Inglaterra;14;DF;Ezri Konsa;Aston Villa;Premier League;23/10/1997
C;Inglaterra;3;DF;Luke Shaw;Manchester United;Premier League;12/07/1995
